"Title","Description"
"FR01: User Registration","The system shall allow new users to register with a unique username, unique email, and password."
"FR02: Password Hashing","The system shall securely hash user passwords using Argon2."
"FR03: User Login","The system shall allow registered users to log in using their username and password."
"FR04: JWT Generation","Upon successful login, the system shall generate a JSON Web Token (JWT) containing user ID and roles."
"FR05: Return JWT","The system shall return the JWT to the authenticated user."
"FR06: JWT Requirement","The system shall require a valid JWT for accessing protected endpoints."
"FR07: Frontend JWT Storage","The frontend shall store the received JWT securely (e.g., in an `HttpOnly` cookie managed by the frontend server)."
"FR08: Frontend JWT Sending","The frontend shall send the JWT with subsequent requests to the backend API."
"FR09: Backend JWT Validation","The backend API shall validate the JWT signature and expiration on protected requests."
"FR10: WhoAmI Endpoint","The system shall provide an endpoint to retrieve the current logged-in user's information based on their JWT."
"FR11: Implement RBAC","The system shall implement Role-Based Access Control (RBAC) using roles: 'Player', 'Administrator', 'Maintainer', 'Operator'."
"FR12: Admin List Users/Roles","The system shall allow Administrators to list all users and their roles."
"FR13: Admin Assign Roles","The system shall allow Administrators to assign roles to users."
"FR14: Admin Remove Roles","The system shall allow Administrators to remove roles from users."
"FR15: Resource Access Control","The system shall restrict access to resources based on assigned roles and resource ownership."
"FR16: Track Last Login","The backend shall track the last login time for users."
"FR17: Handle Disabled Accounts","The system shall handle disabled user accounts during login."
"FR20: Character Model Fields","The Character model shall include fields for: name, level, alignment, age, height, weight, eye color, hair color, player (owner ID), race, class(es), background."
"FR21: Store Ability Scores","The Character model shall store 6 base ability scores: Strength, Dexterity, Constitution, Intelligence, Wisdom, Charisma."
"FR22: Store Proficiencies","The system shall store proficiency selections for skills, saving throws, weapons, armor, and tools based on race, class, and background choices."
"FR23: Store HP","The Character model shall store current Hit Points (HP) and maximum HP."
"FR24: Store Temp HP","The Character model shall store temporary Hit Points."
"FR25: Store Hit Dice","The Character model shall store Hit Dice (total and remaining by type)."
"FR26: Store Languages","The system shall store known languages based on race and background."
"FR27: Store Character Speed","The system shall store character speed based on race."
"FR28: Store Special Senses","The system shall store special senses (e.g., Darkvision) based on race."
"FR29: Store Class Features","The system shall represent and store class-specific features gained at each level according to SRD rules (e.g., Rage uses for Barbarian, Spell Slots for Wizard)."
"FR30: Implement SRD Races","The system shall implement data models and logic for SRD Races (Dwarf, Elf, Halfling, Human, Dragonborn, Gnome, Half-Elf, Half-Orc, Tiefling), including their traits, ability score modifiers, speed, senses, and languages."
"FR31: Implement SRD Classes","The system shall implement data models and logic for SRD Classes (Barbarian, Bard, Cleric, Druid, Fighter, Monk, Paladin, Ranger, Rogue, Sorcerer, Warlock, Wizard), including their hit dice, proficiencies (saving throws, skills, armor, weapons, tools), starting equipment options, and features gained at levels 1-20 according to the SRD."
"FR32: Implement SRD Backgrounds Model","The system shall implement data models for SRD Backgrounds, including skill proficiencies, tool proficiencies, languages, starting equipment/gold, and features."
